Region,Prelevements,pBeta,nBeta
ARA,273,0.024,6.552
BFC,57,0.038,2.166
BRE,48,0.07,3.36
CVL,93,0.024,2.232
COR,11,0,0
GE,51,0.12,6.12
GUA,22,0,0
HDF,218,0.024,5.232
IDF,512,0.131,67.072
REU,36,0.972,34.992
MAR,4,0,0
NOR,52,0.02,1.04
NAQ,96,0.034,3.264
OCC,15,0,0
PDL,111,0.028,3.108
PACA,116,0.018,2.088
NR,6,0,0
Total,1721,0.079736199883789,137.226
