Region,Prelevements,pBeta,nBeta
ARA,108,0.034,4
BFC,20,0.111,2
BRE,33,0,0
CVL,28,0.125,4
COR,1,0,0
GE,58,0.018,1
GUA,3,0,0
HDF,19,0,0
IDF,125,0.109,14
REU,65,0.81,53
NOR,18,0,0
NAQ,110,0.01,1
OCC,94,0,0
PDL,58,0,0
PACA,68,0,0
Total,808,0.0977722772277228,79
